,USA_MOM,USA_QUAL,USA_VAL,USA_SMALL,EUR_MOM,EUR_QUAL,EUR_VAL,EUR_SMALL,CONS_DISC,CONS_STAP,ENERGY,HEALTH,INDUST,INFOTECH,MATERIALS
2005-07,783.1707275,763.26497806,552.7449181031634,262.3574296339915,1297.6616258101633,901.833294594332,854.1417497853564,167.96808285836352,273.760009765625,241.5,362.6300048828125,368.0899963378906,281.9599914550781,327.9599914550781,175.91000366210938
2005-08,795.24279859,750.56288353,554.0010174013297,258.36044859404444,1314.1077452681236,908.2729975037228,862.4365102620122,171.40305621821005,264.1499938964844,237.75,381.1099853515625,366.0400085449219,275.1099853515625,326.95001220703125,168.25999450683594
2005-09,826.22799625,748.92460551,567.8297054749758,259.8090437983232,1375.2435203851535,948.8747533335588,902.2370870542518,179.02215841330326,256.4100036621094,240.47000122070312,403.9599914550781,363.7699890136719,278.1700134277344,327.79998779296875,169.17999267578125
2005-10,800.74475401,737.62059157,554.0748383355013,252.01245207639457,1317.1726120352332,921.958061326952,872.4908611964679,169.58448999647246,251.24000549316406,239.42999267578125,366.0199890136719,352.7699890136719,274.9800109863281,320.5799865722656,170.07000732421875
2005-11,824.39366451,758.35946558,576.2669132672564,264.4116553504496,1358.0085082790408,944.50572723144,904.8077041696135,176.14379421791767,260.7799987792969,241.14999389648438,370.95001220703125,355.5,290.260009765625,340.8800048828125,182.10000610351562
2005-12,837.61169104,751.84304955,583.1345700288169,263.58692488264614,1412.613223867682,980.1933356738205,938.1281270245112,185.33476170610925,258.3900146484375,240.1699981689453,372.7300109863281,367.5,290.6000061035156,330.80999755859375,187.1199951171875
2006-01,892.30130417,763.19501543,606.2791646841164,284.90569883338696,1494.3919388936135,1002.1262426834292,976.0352016790812,198.3977603181676,262.8299865722656,239.75,424.3599853515625,372.6499938964844,289.2799987792969,341.29998779296875,195.8699951171875
2006-02,858.06740017,762.33543812,602.90861435029,284.09381609205906,1534.7444250155208,1010.273217804916,992.058689443074,206.9645611860754,264.42999267578125,242.07000732421875,389.79998779296875,375.5299987792969,296.1300048828125,337.9700012207031,191.66000366210938
2006-03,872.33413023,766.17112521,608.466460465127,296.8891651739508,1581.9101448019917,1037.8681727831167,1026.9442110650257,213.96660611983995,265.3399963378906,242.52000427246094,404.7799987792969,370.6600036621094,309.5299987792969,344.05999755859375,199.86000061035156
2006-04,882.50924158,763.19623549,622.7371943003029,296.88943819022046,1608.371404140046,1054.7817447595155,1035.179786270914,218.44271439294872,268.7099914550781,244.00999450683594,425.4800109863281,358.7300109863281,315.7200012207031,340.1000061035156,206.92999267578125
2006-05,845.1381956,739.67705293,605.0985492495722,279.76149430222284,1509.859964422147,1005.3015395099812,974.6990874864132,204.1189802514861,264.3699951171875,245.19000244140625,411.95001220703125,350.6199951171875,310.1499938964844,315.7200012207031,197.99000549316406
2006-06,852.10950699,742.51033314,606.1374388900387,278.5049207696787,1502.5372217270908,1020.7780239794956,978.3089156318282,200.9521555848916,263.4100036621094,248.1199951171875,420.3500061035156,350.69000244140625,308.1000061035156,310.4200134277344,197.7899932861328
2006-07,823.85624221,746.47499194,612.510122401318,269.2596509455488,1516.534374363075,1032.3731605608898,998.3231606636368,199.1430992521641,254.47999572753906,252.58999633789062,441.2099914550781,369.6199951171875,291.739990234375,298.70001220703125,190.8800048828125
2006-08,816.66090761,764.51163306,627.9753210136146,276.1304849280998,1546.5296246140183,1046.8371555571136,1024.0628540214857,203.8485076770356,259.25,261.6700134277344,423.25,379.5400085449219,295.1499938964844,323.3800048828125,196.02999877929688
2006-09,832.0429214,778.54128089,640.4412896631053,279.0478434130316,1571.6275710791815,1052.4310629326849,1050.9332504112886,209.1874749623809,275.8399963378906,260.75,411.3800048828125,384.9200134277344,306.2900085449219,336.2799987792969,195.55999755859375
2006-10,871.79016065,809.28787877,662.9917791148604,292.7592888049925,1677.319474142185,1090.641923139901,1091.9724090435411,218.85247356181844,293.5799865722656,265.5199890136719,429.739990234375,386.5299987792969,313.2900085449219,350.1199951171875,207.0500030517578
2006-11,906.83930616,824.701942,675.7234390301304,299.530134254763,1682.8988726173448,1079.823457333874,1087.823887500027,225.01246331167832,296.5,262.6600036621094,464.3599853515625,384.42999267578125,320.010009765625,361.19000244140625,215.61000061035156
